script_name,90th_pct,expected_pass_samples
CAC_01,5000,"3,599"
CAR_01,5000,"15,497"
CAR_02,5000,"1,722"
CAR_03,5000,"4,055"
CAR_04,5000,658
CAR_05,5000,"4,733"
CAR_06,5000,"1,943"
CAR_07,5000,"1,476"
CAR_08,5000,447
CHK_01,5000,"2,784"
DRV_01,5000,"1,322"
DRV_02,5000,"9,383"
DRV_03,5000,"3,642"
FES_01,5000,737
MDM_01,5000,"58,350"
TFR_01,5000,"4,964"
TFR_02,5000,"2,491"
TFR_03,5000,668
TFR_04,5000,444
TRP_01,5000,"15,918"
TRP_02,5000,853
VIL_01,5000,"16,347"
VIL_02,5000,"5,047"
VIL_03,5000,"2,525"
VIL_04,5000,"2,907"
